Studies	reference	Intervention	Net	TotalITN	TotalUTN	Deterrence	Events_ITN	TotalITN	Events_UTN	TotalUTN	BFI
Fanello1999a	[35]	CTN	alpha-cypermethrin	378	149	-1.536912752	106	378	32	75	0.342757937
Malima2008(gambiae)a	[36]	LLIN	Olyset	177	112	-0.580357143	28	177	15	56	0.409416196
Malima2009(gambiae)	[37]	CTN	deltamethrin	740	493	-0.501014199	104	740	128	493	0.458699324
Malima2009(funestus)	[37]	CTN	deltamethrin	327	270	-0.211111111	33	327	122	270	0.776658144
Chandre2000(Kisumu)b	[29]	CTN	permethrin	148	126	-0.174603175	2	148	11	63	0.922604423
Ngufor2011(6holes)	[39]	LLIN	deltamethrin	91	78	-0.166666667	11	91	44	78	0.785714286
Corbel2010(BFaso)e	[31]	CTN	deltamethrin	1056	908	-0.162995595	522	1056	137	182	0.343314532
Corbel2010(Benin)e	[31]	CTN	deltamethrin	297	285	-0.042105263	31	297	21	57	0.716690717
Fanello1999b	[35]	CTN	etofenprox	140	149	0.060402685	74	140	32	75	-0.238839286
Corbel2010(BFaso)b	[31]	LLIN	PermaNet	788	908	0.13215859	382	788	137	182	0.355996888
Corbel2010(Benin)a	[31]	LLIN	PermaNet	243	285	0.147368421	9	243	21	57	0.899470899
Chandre2000(YFO)b	[29]	CTN	permethrin	210	247	0.149797571	17	210	36	124	0.721164021
Chandre2000(Kisumu)a	[29]	CTN	deltamethrin	107	126	0.150793651	0	107	11	63	1
Malima2008(gambiae)b	[36]	CTN	permethrin	93	112	0.169642857	8	93	15	56	0.678853047
Darriet1998b	[32]	CTN	permethrin	307	373	0.1769437	95	307	127	187	0.544358665
Tungu2010b	[41]	LLIN	PermaNet	586	723	0.189488243	54	586	40	145	0.665955631
Chandre2000(YFO)a	[29]	CTN	deltamethrin	198	247	0.198380567	5	198	36	124	0.91301908
Corbel2010(BFaso)d	[31]	LLIN	PermaNet	724	908	0.202643172	263	724	137	182	0.517421462
Tungu2010a	[41]	LLIN	PermaNet	574	723	0.206085754	59	574	40	145	0.62739547
Tungu2010e	[41]	CTN	deltamethrin	560	723	0.225449516	59	560	40	145	0.618080357
Corbel2010(Cameroon)b	[31]	LLIN	PermaNet	310	401	0.226932668	63	310	42	80	0.612903226
Tungu2010d	[41]	LLIN	PermaNet	558	723	0.228215768	58	558	40	145	0.623207885
Oxborough2013	[49]	CTN	alpha-cypermethrin	110	143	0.230769231	13	110	34	143	0.502941176
Corbel2010(Benin)c	[31]	LLIN	PermaNet	214	285	0.249122807	1	214	21	57	0.987316422
Ngufor2011(80holes)	[39]	LLIN	deltamethrin	110	147	0.25170068	35	110	80	147	0.415340909
Corbel2010(Benin)d	[31]	LLIN	PermaNet	210	285	0.263157895	26	210	21	57	0.663945578
N’Guessan2007(M.ville)	[38]	CTN	lambda-cyalothrin	267	363	0.26446281	8	267	282	363	0.96143119
Malima2008(funestus)a	[36]	LLIN	Olyset	222	315	0.295238095	36	222	51	158	0.497615262
Corbel2010(Benin)b	[31]	LLIN	PermaNet	195	285	0.315789474	12	195	21	57	0.832967033
Malima2008(funestus)b	[36]	CTN	alpha-cypermethrin	211	315	0.33015873	21	211	51	158	0.691664343
Corbel2010(Cameroon)e	[31]	CTN	deltamethrin	265	401	0.33915212	162	565	42	80	0.453855879
Tungu2010c	[41]	LLIN	PermaNet	425	723	0.412171508	11	425	40	145	0.906176471
Darriet1998a	[32]	CTN	deltamethrin	211	373	0.434316354	63	211	127	187	0.560361234
N’Guessan2007(Cotonou)	[38]	CTN	lambda-cyalothrin	386	689	0.439767779	317	386	565	689	-0.00148104
Corbel2010(BFaso)c	[31]	LLIN	PermaNet	463	908	0.490088106	96	463	137	182	0.724551087
Asidi2005a	[28]	CTN	lambda-cyalothrin	34	83	0.590361446	0	34	16	42	1
Corbel2010(Cameroon)d	[31]	LLIN	PermaNet	163	401	0.593516209	40	163	42	80	0.532573766
Corbel2010(Cameroon)c	[31]	LLIN	PermaNet	146	401	0.635910224	41	146	42	80	0.465101109
Corbel2010(BFaso)a	[31]	LLIN	PermaNet	329	908	0.637665198	116	329	137	182	0.531604286
Asidi2005b	[28]	CTN	lambda-cyalothrin	24	83	0.710843373	4	24	16	42	0.5625
Darriet2000	[33]	CTN	deltamethrin	553	1998	0.723223223	82	553	335	1998	0.115619012
Corbel2010(Cameroon)a	[31]	LLIN	PermaNet	105	401	0.738154613	16	105	42	80	0.709750567
Corbel2004a	[30]	CTN	permethrin	60	520	0.884615385	27	60	179	260	0.346368715
Corbel2004b	[30]	CTN	permethrin	56	520	0.892307692	26	56	179	260	0.325618516
